"","Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered","Lat","Long_","Active","Admin2","FIPS","Combined_Key","date"
"8993","Georgia","US","3/22/20 23:45",0,0,0,32.40209349,-82.07702563,0,"Candler",13043,"Candler, Georgia, US","03-22-2020"
"8994","Georgia","US","3/22/20 23:45",0,0,0,34.89872298,-85.13757014,0,"Catoosa",13047,"Catoosa, Georgia, US","03-22-2020"
"8995","Georgia","US","3/22/20 23:45",0,0,0,32.34341231,-84.78809239,0,"Chattahoochee",13053,"Chattahoochee, Georgia, US","03-22-2020"
"8996","Georgia","US","3/22/20 23:45",0,0,0,31.62221166,-84.97713865,0,"Clay",13061,"Clay, Georgia, US","03-22-2020"
"8997","Georgia","US","3/22/20 23:45",0,0,0,31.54892966,-82.8549206,0,"Coffee",13069,"Coffee, Georgia, US","03-22-2020"
"8998","Georgia","US","3/22/20 23:45",0,0,0,31.18810588,-83.7677946,0,"Colquitt",13071,"Colquitt, Georgia, US","03-22-2020"
"8999","Georgia","US","3/22/20 23:45",0,0,0,31.16068491,-83.42947229,0,"Cook",13075,"Cook, Georgia, US","03-22-2020"
"9000","Georgia","US","3/22/20 23:45",0,0,0,32.71391813,-83.98061238,0,"Crawford",13079,"Crawford, Georgia, US","03-22-2020"
"9001","Georgia","US","3/22/20 23:45",0,0,0,31.92289565,-83.76811843,0,"Crisp",13081,"Crisp, Georgia, US","03-22-2020"
"9002","Georgia","US","3/22/20 23:45",0,0,0,34.8549167,-85.50490424,0,"Dade",13083,"Dade, Georgia, US","03-22-2020"
"9003","Georgia","US","3/22/20 23:45",0,0,0,30.87967778,-84.57619536,0,"Decatur",13087,"Decatur, Georgia, US","03-22-2020"
"9004","Georgia","US","3/22/20 23:45",0,0,0,32.17265114,-83.16948926,0,"Dodge",13091,"Dodge, Georgia, US","03-22-2020"
"9005","Georgia","US","3/22/20 23:45",0,0,0,32.15630737,-83.79746561,0,"Dooly",13093,"Dooly, Georgia, US","03-22-2020"
"9006","Georgia","US","3/22/20 23:45",0,0,0,30.71101099,-82.89687287,0,"Echols",13101,"Echols, Georgia, US","03-22-2020"
"9007","Georgia","US","3/22/20 23:45",0,0,0,34.11302332,-82.83936148,0,"Elbert",13105,"Elbert, Georgia, US","03-22-2020"
"9008","Georgia","US","3/22/20 23:45",0,0,0,32.59221302,-82.30239915,0,"Emanuel",13107,"Emanuel, Georgia, US","03-22-2020"
"9009","Georgia","US","3/22/20 23:45",0,0,0,32.15328841,-81.8870105,0,"Evans",13109,"Evans, Georgia, US","03-22-2020"
"9010","Georgia","US","3/22/20 23:45",0,0,0,34.86430205,-84.316964,0,"Fannin",13111,"Fannin, Georgia, US","03-22-2020"
"9011","Georgia","US","3/22/20 23:45",0,0,0,34.37525597,-83.23159927,0,"Franklin",13119,"Franklin, Georgia, US","03-22-2020"
"9012","Georgia","US","3/22/20 23:45",0,0,0,34.69316688,-84.45802506,0,"Gilmer",13123,"Gilmer, Georgia, US","03-22-2020"
"9013","Georgia","US","3/22/20 23:45",0,0,0,33.22879932,-82.61297636,0,"Glascock",13125,"Glascock, Georgia, US","03-22-2020"
"9014","Georgia","US","3/22/20 23:45",0,0,0,30.87454847,-84.23418364,0,"Grady",13131,"Grady, Georgia, US","03-22-2020"
"9015","Georgia","US","3/22/20 23:45",0,0,0,33.5769205,-83.17139104,0,"Greene",13133,"Greene, Georgia, US","03-22-2020"
"9016","Georgia","US","3/22/20 23:45",0,0,0,34.63331566,-83.53094677,0,"Habersham",13137,"Habersham, Georgia, US","03-22-2020"
"9017","Georgia","US","3/22/20 23:45",0,0,0,33.2721566,-82.99766919,0,"Hancock",13141,"Hancock, Georgia, US","03-22-2020"
"9018","Georgia","US","3/22/20 23:45",0,0,0,33.79602175,-85.21005667,0,"Haralson",13143,"Haralson, Georgia, US","03-22-2020"
"9019","Georgia","US","3/22/20 23:45",0,0,0,32.73709786,-84.90538572,0,"Harris",13145,"Harris, Georgia, US","03-22-2020"
